epoch,time,loss,val_loss,dice
1,301.5408821105957,0.31520845748174703,"tensor(0.0448, device='cuda:0')","tensor(0.7935, device='cuda:0')"
2,302.3512816429138,0.04404319558268824,"tensor(0.0245, device='cuda:0')","tensor(0.7668, device='cuda:0')"
3,295.2269620895386,0.02980943484463917,"tensor(0.0287, device='cuda:0')","tensor(0.7294, device='cuda:0')"
4,290.4815502166748,0.024799640016695736,"tensor(0.0131, device='cuda:0')","tensor(0.9095, device='cuda:0')"
5,296.4157602787018,0.02489450561721771,"tensor(0.0147, device='cuda:0')","tensor(0.9101, device='cuda:0')"
6,300.07223749160767,0.021699489453605163,"tensor(0.0135, device='cuda:0')","tensor(0.8937, device='cuda:0')"
7,297.7672827243805,0.019925942919708,"tensor(0.0122, device='cuda:0')","tensor(0.9031, device='cuda:0')"
8,297.80184030532837,0.01968503223297695,"tensor(0.0112, device='cuda:0')","tensor(0.8959, device='cuda:0')"
9,311.5192983150482,0.019718533119978236,"tensor(0.0108, device='cuda:0')","tensor(0.9123, device='cuda:0')"
10,300.1550540924072,0.01944867571214803,"tensor(0.0129, device='cuda:0')","tensor(0.8917, device='cuda:0')"
11,302.43695282936096,0.01778218912900972,"tensor(0.0118, device='cuda:0')","tensor(0.9203, device='cuda:0')"
12,289.3335757255554,0.01811671315487057,"tensor(0.0111, device='cuda:0')","tensor(0.9090, device='cuda:0')"
13,299.5929560661316,0.017141811167315446,"tensor(0.0113, device='cuda:0')","tensor(0.9201, device='cuda:0')"
14,316.67353558540344,0.01649210312010976,"tensor(0.0124, device='cuda:0')","tensor(0.8825, device='cuda:0')"
15,300.84516167640686,0.016522303187904274,"tensor(0.0119, device='cuda:0')","tensor(0.9067, device='cuda:0')"
16,298.5949468612671,0.016417288689311752,"tensor(0.0123, device='cuda:0')","tensor(0.9014, device='cuda:0')"
17,289.01938033103943,0.016786269272287817,"tensor(0.0109, device='cuda:0')","tensor(0.9214, device='cuda:0')"
18,286.5227029323578,0.016139918411620685,"tensor(0.0105, device='cuda:0')","tensor(0.9176, device='cuda:0')"
19,308.69012689590454,0.01627147203599944,"tensor(0.0107, device='cuda:0')","tensor(0.9204, device='cuda:0')"
20,300.05132961273193,0.015344211166671007,"tensor(0.0098, device='cuda:0')","tensor(0.9333, device='cuda:0')"
21,297.2424294948578,0.015866532843313012,"tensor(0.0113, device='cuda:0')","tensor(0.9237, device='cuda:0')"
22,305.40307092666626,0.014850595630497078,"tensor(0.0109, device='cuda:0')","tensor(0.9216, device='cuda:0')"
23,295.7316143512726,0.015663304807656937,"tensor(0.0105, device='cuda:0')","tensor(0.9068, device='cuda:0')"
24,291.5598690509796,0.014181952324722663,"tensor(0.0135, device='cuda:0')","tensor(0.9186, device='cuda:0')"
25,303.6047704219818,0.015605390341149068,"tensor(0.0106, device='cuda:0')","tensor(0.9243, device='cuda:0')"
26,302.4905331134796,0.015355493912782774,"tensor(0.0114, device='cuda:0')","tensor(0.9209, device='cuda:0')"
27,310.47887134552,0.014646701528854392,"tensor(0.0100, device='cuda:0')","tensor(0.9208, device='cuda:0')"
28,299.331339597702,0.013613041264924429,"tensor(0.0124, device='cuda:0')","tensor(0.9181, device='cuda:0')"
29,305.05232286453247,0.014680854005429657,"tensor(0.0107, device='cuda:0')","tensor(0.9246, device='cuda:0')"
30,295.65795731544495,0.01363657767655322,"tensor(0.0101, device='cuda:0')","tensor(0.9335, device='cuda:0')"
31,298.67926502227783,0.013655268042660772,"tensor(0.0113, device='cuda:0')","tensor(0.9325, device='cuda:0')"
32,288.60686898231506,0.013674571877345443,"tensor(0.0109, device='cuda:0')","tensor(0.9292, device='cuda:0')"
33,293.38159370422363,0.013004504598695019,"tensor(0.0102, device='cuda:0')","tensor(0.9286, device='cuda:0')"
34,296.0021779537201,0.013194968002274064,"tensor(0.0093, device='cuda:0')","tensor(0.9292, device='cuda:0')"
35,299.6146879196167,0.012758185365460457,"tensor(0.0098, device='cuda:0')","tensor(0.9285, device='cuda:0')"
36,288.330064535141,0.012614641539059189,"tensor(0.0105, device='cuda:0')","tensor(0.9331, device='cuda:0')"
37,308.5218930244446,0.013163609972473591,"tensor(0.0098, device='cuda:0')","tensor(0.9321, device='cuda:0')"
38,299.36539220809937,0.012879881806621047,"tensor(0.0098, device='cuda:0')","tensor(0.9272, device='cuda:0')"
39,294.45815086364746,0.012593031909983276,"tensor(0.0100, device='cuda:0')","tensor(0.9354, device='cuda:0')"
40,292.44026136398315,0.01278044018573082,"tensor(0.0097, device='cuda:0')","tensor(0.9305, device='cuda:0')"
