epoch,time,loss,val_loss,dice
1,295.65654611587524,0.31650097099260777,"tensor(0.0391, device='cuda:0')","tensor(0.9220, device='cuda:0')"
2,304.5371558666229,0.046201349988865416,"tensor(0.0141, device='cuda:0')","tensor(0.9108, device='cuda:0')"
3,294.71564269065857,0.029367944490485867,"tensor(0.0087, device='cuda:0')","tensor(0.9421, device='cuda:0')"
4,288.79616379737854,0.026444750236936442,"tensor(0.0071, device='cuda:0')","tensor(0.9522, device='cuda:0')"
5,296.9465823173523,0.021677325684993778,"tensor(0.0070, device='cuda:0')","tensor(0.9512, device='cuda:0')"
6,299.86323738098145,0.02178418453032977,"tensor(0.0067, device='cuda:0')","tensor(0.9538, device='cuda:0')"
7,297.18570137023926,0.01955243743236025,"tensor(0.0059, device='cuda:0')","tensor(0.9485, device='cuda:0')"
8,297.23635149002075,0.020926550822183736,"tensor(0.0069, device='cuda:0')","tensor(0.9574, device='cuda:0')"
9,310.67088747024536,0.02218603793555459,"tensor(0.0054, device='cuda:0')","tensor(0.9530, device='cuda:0')"
10,299.08517241477966,0.018622545272516573,"tensor(0.0059, device='cuda:0')","tensor(0.9549, device='cuda:0')"
11,300.4045865535736,0.019291856242849625,"tensor(0.0055, device='cuda:0')","tensor(0.9583, device='cuda:0')"
12,288.272230386734,0.0189834679104983,"tensor(0.0061, device='cuda:0')","tensor(0.9443, device='cuda:0')"
13,299.57778763771057,0.018571609153617594,"tensor(0.0061, device='cuda:0')","tensor(0.9484, device='cuda:0')"
14,314.87968134880066,0.017842417011578997,"tensor(0.0063, device='cuda:0')","tensor(0.9508, device='cuda:0')"
15,299.7989273071289,0.0179028681779917,"tensor(0.0056, device='cuda:0')","tensor(0.9539, device='cuda:0')"
16,298.3445682525635,0.017475335033068938,"tensor(0.0052, device='cuda:0')","tensor(0.9515, device='cuda:0')"
17,287.9048864841461,0.016756895574006128,"tensor(0.0062, device='cuda:0')","tensor(0.9558, device='cuda:0')"
18,286.4020745754242,0.0168930206108636,"tensor(0.0052, device='cuda:0')","tensor(0.9604, device='cuda:0')"
19,306.1255602836609,0.017212427791041412,"tensor(0.0059, device='cuda:0')","tensor(0.9523, device='cuda:0')"
20,300.6394531726837,0.016824095596235003,"tensor(0.0052, device='cuda:0')","tensor(0.9577, device='cuda:0')"
21,296.94430470466614,0.016220787048753432,"tensor(0.0055, device='cuda:0')","tensor(0.9513, device='cuda:0')"
22,306.6490137577057,0.016930106701478122,"tensor(0.0050, device='cuda:0')","tensor(0.9608, device='cuda:0')"
23,296.302170753479,0.015706057439352904,"tensor(0.0053, device='cuda:0')","tensor(0.9574, device='cuda:0')"
24,291.6408088207245,0.014793194528407277,"tensor(0.0052, device='cuda:0')","tensor(0.9582, device='cuda:0')"
25,302.2596776485443,0.014764995712894037,"tensor(0.0050, device='cuda:0')","tensor(0.9624, device='cuda:0')"
26,301.99813747406006,0.015880851760899397,"tensor(0.0054, device='cuda:0')","tensor(0.9577, device='cuda:0')"
27,310.1501898765564,0.01605499633989586,"tensor(0.0056, device='cuda:0')","tensor(0.9538, device='cuda:0')"
28,297.44405031204224,0.014970591005396114,"tensor(0.0048, device='cuda:0')","tensor(0.9626, device='cuda:0')"
29,303.800909280777,0.01434691325231743,"tensor(0.0048, device='cuda:0')","tensor(0.9621, device='cuda:0')"
30,296.4623079299927,0.014766855412326488,"tensor(0.0054, device='cuda:0')","tensor(0.9591, device='cuda:0')"
31,298.64630579948425,0.014776739533603814,"tensor(0.0047, device='cuda:0')","tensor(0.9641, device='cuda:0')"
32,288.6317856311798,0.014434842671008826,"tensor(0.0047, device='cuda:0')","tensor(0.9617, device='cuda:0')"
33,294.78131890296936,0.014169266212734583,"tensor(0.0047, device='cuda:0')","tensor(0.9640, device='cuda:0')"
34,296.42158222198486,0.013884309102028316,"tensor(0.0048, device='cuda:0')","tensor(0.9624, device='cuda:0')"
35,300.5518021583557,0.014086085890892878,"tensor(0.0045, device='cuda:0')","tensor(0.9674, device='cuda:0')"
36,287.8660318851471,0.014154102473992843,"tensor(0.0047, device='cuda:0')","tensor(0.9625, device='cuda:0')"
37,310.02737522125244,0.013722764740968814,"tensor(0.0047, device='cuda:0')","tensor(0.9619, device='cuda:0')"
38,299.95516061782837,0.013585759846035383,"tensor(0.0046, device='cuda:0')","tensor(0.9647, device='cuda:0')"
39,295.1037702560425,0.013812855226002603,"tensor(0.0046, device='cuda:0')","tensor(0.9619, device='cuda:0')"
40,293.1014597415924,0.013072633556426518,"tensor(0.0046, device='cuda:0')","tensor(0.9644, device='cuda:0')"
