epoch,time,loss,val_loss,dice
1,296.14160203933716,0.31758333193941607,"tensor(0.0479, device='cuda:0')","tensor(0.7638, device='cuda:0')"
2,302.91342329978943,0.0452116597443819,"tensor(0.0171, device='cuda:0')","tensor(0.9160, device='cuda:0')"
3,296.28409337997437,0.02850325775151243,"tensor(0.0133, device='cuda:0')","tensor(0.9067, device='cuda:0')"
4,290.7064485549927,0.025807146035051482,"tensor(0.0139, device='cuda:0')","tensor(0.8900, device='cuda:0')"
5,297.873140335083,0.022812179910144014,"tensor(0.0086, device='cuda:0')","tensor(0.9483, device='cuda:0')"
6,301.5231943130493,0.02089019140195902,"tensor(0.0085, device='cuda:0')","tensor(0.9410, device='cuda:0')"
7,297.87423753738403,0.020232955225186953,"tensor(0.0093, device='cuda:0')","tensor(0.9403, device='cuda:0')"
8,297.9921922683716,0.019404838760249513,"tensor(0.0092, device='cuda:0')","tensor(0.9402, device='cuda:0')"
9,312.05271220207214,0.019951196691652105,"tensor(0.0088, device='cuda:0')","tensor(0.9434, device='cuda:0')"
10,300.6868062019348,0.018070728419878238,"tensor(0.0091, device='cuda:0')","tensor(0.9423, device='cuda:0')"
11,302.1997730731964,0.019213868305830932,"tensor(0.0083, device='cuda:0')","tensor(0.9452, device='cuda:0')"
12,288.8645877838135,0.020193797300388203,"tensor(0.0092, device='cuda:0')","tensor(0.9410, device='cuda:0')"
13,300.82416820526123,0.01714831860230183,"tensor(0.0081, device='cuda:0')","tensor(0.9451, device='cuda:0')"
14,317.07393050193787,0.017647836570845198,"tensor(0.0094, device='cuda:0')","tensor(0.9445, device='cuda:0')"
15,300.1743252277374,0.017428232208132347,"tensor(0.0081, device='cuda:0')","tensor(0.9472, device='cuda:0')"
16,298.65281558036804,0.016332413441837796,"tensor(0.0084, device='cuda:0')","tensor(0.9476, device='cuda:0')"
17,288.70540714263916,0.016376634488423785,"tensor(0.0085, device='cuda:0')","tensor(0.9532, device='cuda:0')"
18,288.08035016059875,0.016096544556896946,"tensor(0.0076, device='cuda:0')","tensor(0.9472, device='cuda:0')"
19,307.4389715194702,0.01615290387575261,"tensor(0.0079, device='cuda:0')","tensor(0.9441, device='cuda:0')"
20,302.0262258052826,0.01586810794522087,"tensor(0.0083, device='cuda:0')","tensor(0.9425, device='cuda:0')"
21,296.97529315948486,0.015453006674240996,"tensor(0.0074, device='cuda:0')","tensor(0.9555, device='cuda:0')"
22,307.17297744750977,0.015949773286787646,"tensor(0.0083, device='cuda:0')","tensor(0.9535, device='cuda:0')"
23,296.3238320350647,0.015772040852288987,"tensor(0.0090, device='cuda:0')","tensor(0.9401, device='cuda:0')"
24,292.0487205982208,0.014865250817645859,"tensor(0.0087, device='cuda:0')","tensor(0.9450, device='cuda:0')"
25,302.9457290172577,0.014596728317531803,"tensor(0.0075, device='cuda:0')","tensor(0.9500, device='cuda:0')"
26,302.9404830932617,0.016057682564309516,"tensor(0.0086, device='cuda:0')","tensor(0.9483, device='cuda:0')"
27,311.53610920906067,0.013631387919443445,"tensor(0.0078, device='cuda:0')","tensor(0.9510, device='cuda:0')"
28,298.84702706336975,0.014143473990172302,"tensor(0.0074, device='cuda:0')","tensor(0.9518, device='cuda:0')"
29,304.5971975326538,0.014531266495820516,"tensor(0.0073, device='cuda:0')","tensor(0.9525, device='cuda:0')"
30,297.21371126174927,0.0140248733965424,"tensor(0.0068, device='cuda:0')","tensor(0.9565, device='cuda:0')"
31,299.5796916484833,0.015040848314904934,"tensor(0.0076, device='cuda:0')","tensor(0.9560, device='cuda:0')"
32,287.5248689651489,0.01423333767063606,"tensor(0.0077, device='cuda:0')","tensor(0.9446, device='cuda:0')"
33,294.2380039691925,0.013662576940603941,"tensor(0.0083, device='cuda:0')","tensor(0.9432, device='cuda:0')"
34,297.01397609710693,0.013596851424055223,"tensor(0.0076, device='cuda:0')","tensor(0.9540, device='cuda:0')"
35,299.5982756614685,0.013832645035890372,"tensor(0.0072, device='cuda:0')","tensor(0.9543, device='cuda:0')"
36,288.9332466125488,0.013332719304643494,"tensor(0.0070, device='cuda:0')","tensor(0.9563, device='cuda:0')"
37,309.63205647468567,0.01407049451106653,"tensor(0.0073, device='cuda:0')","tensor(0.9523, device='cuda:0')"
38,300.1349880695343,0.013409596311446195,"tensor(0.0081, device='cuda:0')","tensor(0.9553, device='cuda:0')"
39,294.28351402282715,0.012998173566395276,"tensor(0.0080, device='cuda:0')","tensor(0.9488, device='cuda:0')"
40,293.50831627845764,0.012858127802461617,"tensor(0.0073, device='cuda:0')","tensor(0.9528, device='cuda:0')"
