epoch,time,loss,val_loss,dice
1,295.98666310310364,0.3170412793136636,"tensor(0.0364, device='cuda:0')","tensor(0.9028, device='cuda:0')"
2,302.69661045074463,0.04399996616255743,"tensor(0.0144, device='cuda:0')","tensor(0.9029, device='cuda:0')"
3,297.0973889827728,0.0295758200363039,"tensor(0.0100, device='cuda:0')","tensor(0.9268, device='cuda:0')"
4,290.8667149543762,0.025586754762040916,"tensor(0.0078, device='cuda:0')","tensor(0.9445, device='cuda:0')"
5,297.81663703918457,0.02147379272227613,"tensor(0.0072, device='cuda:0')","tensor(0.9514, device='cuda:0')"
6,300.64226603507996,0.02132169718738088,"tensor(0.0075, device='cuda:0')","tensor(0.9501, device='cuda:0')"
7,297.89998269081116,0.020398864540429173,"tensor(0.0060, device='cuda:0')","tensor(0.9452, device='cuda:0')"
8,298.60098123550415,0.02026929922651844,"tensor(0.0066, device='cuda:0')","tensor(0.9386, device='cuda:0')"
9,312.0788230895996,0.020760754928939026,"tensor(0.0087, device='cuda:0')","tensor(0.9169, device='cuda:0')"
10,300.75321650505066,0.01975703540409856,"tensor(0.0059, device='cuda:0')","tensor(0.9488, device='cuda:0')"
11,302.01083493232727,0.019949883352012962,"tensor(0.0056, device='cuda:0')","tensor(0.9548, device='cuda:0')"
12,289.5752840042114,0.018947826043818703,"tensor(0.0057, device='cuda:0')","tensor(0.9593, device='cuda:0')"
13,300.19654870033264,0.01747849322156237,"tensor(0.0057, device='cuda:0')","tensor(0.9579, device='cuda:0')"
14,317.5069968700409,0.016697644874209557,"tensor(0.0054, device='cuda:0')","tensor(0.9533, device='cuda:0')"
15,299.78538393974304,0.017534217153030177,"tensor(0.0072, device='cuda:0')","tensor(0.9493, device='cuda:0')"
16,299.31017661094666,0.01799699515937425,"tensor(0.0057, device='cuda:0')","tensor(0.9498, device='cuda:0')"
17,288.7460060119629,0.018114704168595053,"tensor(0.0056, device='cuda:0')","tensor(0.9567, device='cuda:0')"
18,288.29000329971313,0.01669580887403553,"tensor(0.0050, device='cuda:0')","tensor(0.9579, device='cuda:0')"
19,307.8296272754669,0.01593574084499225,"tensor(0.0049, device='cuda:0')","tensor(0.9578, device='cuda:0')"
20,300.8867199420929,0.01609459040037836,"tensor(0.0049, device='cuda:0')","tensor(0.9581, device='cuda:0')"
21,298.12482261657715,0.01621944049801737,"tensor(0.0051, device='cuda:0')","tensor(0.9530, device='cuda:0')"
22,307.75922322273254,0.015372016603281847,"tensor(0.0048, device='cuda:0')","tensor(0.9578, device='cuda:0')"
23,297.50492310523987,0.01586569094072325,"tensor(0.0048, device='cuda:0')","tensor(0.9630, device='cuda:0')"
24,293.64390897750854,0.01551835525620241,"tensor(0.0047, device='cuda:0')","tensor(0.9604, device='cuda:0')"
25,302.6239550113678,0.0154438190037212,"tensor(0.0046, device='cuda:0')","tensor(0.9651, device='cuda:0')"
26,302.9660840034485,0.01565036417011874,"tensor(0.0047, device='cuda:0')","tensor(0.9629, device='cuda:0')"
27,311.098210811615,0.01510984973815351,"tensor(0.0047, device='cuda:0')","tensor(0.9631, device='cuda:0')"
28,299.29098320007324,0.013875582554457947,"tensor(0.0044, device='cuda:0')","tensor(0.9632, device='cuda:0')"
29,305.63523602485657,0.014141389074327717,"tensor(0.0045, device='cuda:0')","tensor(0.9618, device='cuda:0')"
30,296.7117590904236,0.014298879004384108,"tensor(0.0046, device='cuda:0')","tensor(0.9644, device='cuda:0')"
31,299.281769990921,0.014763518576525124,"tensor(0.0047, device='cuda:0')","tensor(0.9614, device='cuda:0')"
32,289.1016345024109,0.014851731849989053,"tensor(0.0050, device='cuda:0')","tensor(0.9606, device='cuda:0')"
33,294.6105902194977,0.01433641331109663,"tensor(0.0047, device='cuda:0')","tensor(0.9599, device='cuda:0')"
34,297.0823061466217,0.013505298473958535,"tensor(0.0042, device='cuda:0')","tensor(0.9666, device='cuda:0')"
35,300.45105051994324,0.012853467212870923,"tensor(0.0044, device='cuda:0')","tensor(0.9628, device='cuda:0')"
36,288.314790725708,0.013809912950365827,"tensor(0.0044, device='cuda:0')","tensor(0.9648, device='cuda:0')"
37,310.1021361351013,0.013583244174159471,"tensor(0.0044, device='cuda:0')","tensor(0.9629, device='cuda:0')"
38,300.4225752353668,0.013659341805302113,"tensor(0.0046, device='cuda:0')","tensor(0.9624, device='cuda:0')"
39,297.04014778137207,0.013627568388152449,"tensor(0.0043, device='cuda:0')","tensor(0.9649, device='cuda:0')"
40,294.76874709129333,0.012668450201561036,"tensor(0.0043, device='cuda:0')","tensor(0.9679, device='cuda:0')"
